transcript,prompt,n_utterances,speakers,response,response_utterances,response_n_lines,n_responses_match
"[Teacher]: ""Today we will be discussing the concept of gravity. Are you ready?""
[Student]: ""Yes, I am.""
[Teacher]: ""Great, let's start with the definition.""
[Student]: ""Okay.""
[Teacher]: ""Gravity is a force that attracts two objects towards each other.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Today we will be discussing the concept of gravity. Are you ready?""
[Student]: ""Yes, I am.""
[Teacher]: ""Great, let's start with the definition.""
[Student]: ""Okay.""
[Teacher]: ""Gravity is a force that attracts two objects towards each other.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Information seeking
Information giving
Neutral
Information giving","['Information giving', 'Information seeking', 'Information giving', 'Neutral', 'Information giving']",5,True
"[Student]: ""I'm having trouble with this math problem.""
[Teacher]: ""Let's break it down together.""
[Student]: ""That would be helpful.""
[Teacher]: ""First, let's simplify the equation.""
[Student]: ""Oh, I see where I went wrong.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Student]: ""I'm having trouble with this math problem.""
[Teacher]: ""Let's break it down together.""
[Student]: ""That would be helpful.""
[Teacher]: ""First, let's simplify the equation.""
[Student]: ""Oh, I see where I went wrong.""
",5,"['[Student]', '[Teacher]', '[Student]', '[Teacher]']","Information seeking
Information giving
Information seeking
Information giving
Information giving","['Information seeking', 'Information giving', 'Information seeking', 'Information giving', 'Information giving']",5,True
"[Teacher]: ""Today we will be discussing the concept of democracy. Any questions before we start?""
[Student]: ""No, I'm ready.""
[Teacher]: ""Great, let's begin.""
[Student]: ""Okay.""
[Teacher]: ""Democracy is a form of government where the people have the power to choose their leaders.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Today we will be discussing the concept of democracy. Any questions before we start?""
[Student]: ""No, I'm ready.""
[Teacher]: ""Great, let's begin.""
[Student]: ""Okay.""
[Teacher]: ""Democracy is a form of government where the people have the power to choose their leaders.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Neutral
Information giving
Neutral
Information giving","['Information giving', 'Neutral', 'Information giving', 'Neutral', 'Information giving']",5,True
"[Student]: ""Can we go over the last chapter again? I'm a bit confused.""
[Teacher]: ""Of course, let's review it together.""
[Student]: ""Thank you.""
[Teacher]: ""Let's start from the beginning.""
[Student]: ""That makes it clearer.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Student]: ""Can we go over the last chapter again? I'm a bit confused.""
[Teacher]: ""Of course, let's review it together.""
[Student]: ""Thank you.""
[Teacher]: ""Let's start from the beginning.""
[Student]: ""That makes it clearer.""
",5,"['[Student]', '[Teacher]', '[Student]', '[Teacher]']","Information seeking
Information giving
Neutral
Information giving
Information giving","['Information seeking', 'Information giving', 'Neutral', 'Information giving', 'Information giving']",5,True
"[Teacher]: ""Let's start the class with a quick recap of yesterday's lesson.""
[Student]: ""Sure.""
[Teacher]: ""We discussed the concept of photosynthesis. Can you tell me what you remember?""
[Student]: ""Photosynthesis is the process by which green plants make their own food using sunlight.""
[Teacher]: ""Excellent! Let's move on to today's lesson.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Let's start the class with a quick recap of yesterday's lesson.""
[Student]: ""Sure.""
[Teacher]: ""We discussed the concept of photosynthesis. Can you tell me what you remember?""
[Student]: ""Photosynthesis is the process by which green plants make their own food using sunlight.""
[Teacher]: ""Excellent! Let's move on to today's lesson.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Neutral
Information seeking
Information giving
Information giving","['Information giving', 'Neutral', 'Information seeking', 'Information giving', 'Information giving']",5,True
"[Teacher]: ""Today we will be discussing the concept of evolution. Are you ready?""
[Student]: ""Yes, I am.""
[Teacher]: ""Great, let's start with the definition.""
[Student]: ""Okay.""
[Teacher]: ""Evolution is the process by which species of organisms undergo change over time.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Today we will be discussing the concept of evolution. Are you ready?""
[Student]: ""Yes, I am.""
[Teacher]: ""Great, let's start with the definition.""
[Student]: ""Okay.""
[Teacher]: ""Evolution is the process by which species of organisms undergo change over time.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Information seeking
Information giving
Neutral
Information giving","['Information giving', 'Information seeking', 'Information giving', 'Neutral', 'Information giving']",5,True
"[Student]: ""I'm having trouble with this history question.""
[Teacher]: ""Let's break it down together.""
[Student]: ""That would be helpful.""
[Teacher]: ""First, let's look at the context of the question.""
[Student]: ""Oh, I see where I went wrong.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Student]: ""I'm having trouble with this history question.""
[Teacher]: ""Let's break it down together.""
[Student]: ""That would be helpful.""
[Teacher]: ""First, let's look at the context of the question.""
[Student]: ""Oh, I see where I went wrong.""
",5,"['[Student]', '[Teacher]', '[Student]', '[Teacher]']","Information seeking
Information giving
Information seeking
Information giving
Information giving","['Information seeking', 'Information giving', 'Information seeking', 'Information giving', 'Information giving']",5,True
"[Teacher]: ""Today we will be discussing the concept of climate change. Any questions before we start?""
[Student]: ""No, I'm ready.""
[Teacher]: ""Great, let's begin.""
[Student]: ""Okay.""
[Teacher]: ""Climate change refers to long-term changes in temperature and typical weather patterns in a place.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Today we will be discussing the concept of climate change. Any questions before we start?""
[Student]: ""No, I'm ready.""
[Teacher]: ""Great, let's begin.""
[Student]: ""Okay.""
[Teacher]: ""Climate change refers to long-term changes in temperature and typical weather patterns in a place.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Neutral
Information giving
Neutral
Information giving","['Information giving', 'Neutral', 'Information giving', 'Neutral', 'Information giving']",5,True
"[Student]: ""Can we go over the last chapter again? I'm a bit confused.""
[Teacher]: ""Of course, let's review it together.""
[Student]: ""Thank you.""
[Teacher]: ""Let's start from the beginning.""
[Student]: ""That makes it clearer.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Student]: ""Can we go over the last chapter again? I'm a bit confused.""
[Teacher]: ""Of course, let's review it together.""
[Student]: ""Thank you.""
[Teacher]: ""Let's start from the beginning.""
[Student]: ""That makes it clearer.""
",5,"['[Student]', '[Teacher]', '[Student]', '[Teacher]']","Information seeking
Information giving
Neutral
Information giving
Information giving","['Information seeking', 'Information giving', 'Neutral', 'Information giving', 'Information giving']",5,True
"[Teacher]: ""Let's start the class with a quick recap of yesterday's lesson.""
[Student]: ""Sure.""
[Teacher]: ""We discussed the concept of democracy. Can you tell me what you remember?""
[Student]: ""Democracy is a form of government where the people have the power to choose their leaders.""
[Teacher]: ""Excellent! Let's move on to today's lesson.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Let's start the class with a quick recap of yesterday's lesson.""
[Student]: ""Sure.""
[Teacher]: ""We discussed the concept of democracy. Can you tell me what you remember?""
[Student]: ""Democracy is a form of government where the people have the power to choose their leaders.""
[Teacher]: ""Excellent! Let's move on to today's lesson.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Neutral
Information giving
Information seeking
Information giving","['Information giving', 'Neutral', 'Information giving', 'Information seeking', 'Information giving']",5,True
"[Teacher]: ""Today we will be discussing the concept of ecosystems. Are you ready?""
[Student]: ""Yes, I am.""
[Teacher]: ""Great, let's start with the definition.""
[Student]: ""Okay.""
[Teacher]: ""An ecosystem is a community of living organisms in conjunction with the nonliving components of their environment.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Today we will be discussing the concept of ecosystems. Are you ready?""
[Student]: ""Yes, I am.""
[Teacher]: ""Great, let's start with the definition.""
[Student]: ""Okay.""
[Teacher]: ""An ecosystem is a community of living organisms in conjunction with the nonliving components of their environment.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Information seeking
Information giving
Neutral
Information giving","['Information giving', 'Information seeking', 'Information giving', 'Neutral', 'Information giving']",5,True
"[Student]: ""I'm having trouble with this geography question.""
[Teacher]: ""Let's break it down together.""
[Student]: ""That would be helpful.""
[Teacher]: ""First, let's look at the context of the question.""
[Student]: ""Oh, I see where I went wrong.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Student]: ""I'm having trouble with this geography question.""
[Teacher]: ""Let's break it down together.""
[Student]: ""That would be helpful.""
[Teacher]: ""First, let's look at the context of the question.""
[Student]: ""Oh, I see where I went wrong.""
",5,"['[Student]', '[Teacher]', '[Student]', '[Teacher]']","Information seeking
Information giving
Information seeking
Information giving
Information giving","['Information seeking', 'Information giving', 'Information seeking', 'Information giving', 'Information giving']",5,True
"[Teacher]: ""Today we will be discussing the concept of human rights. Any questions before we start?""
[Student]: ""No, I'm ready.""
[Teacher]: ""Great, let's begin.""
[Student]: ""Okay.""
[Teacher]: ""Human rights are the basic rights and freedoms to which all individuals are entitled.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Today we will be discussing the concept of human rights. Any questions before we start?""
[Student]: ""No, I'm ready.""
[Teacher]: ""Great, let's begin.""
[Student]: ""Okay.""
[Teacher]: ""Human rights are the basic rights and freedoms to which all individuals are entitled.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Neutral
Information giving
Neutral
Information giving","['Information giving', 'Neutral', 'Information giving', 'Neutral', 'Information giving']",5,True
"[Student]: ""Can we go over the last chapter again? I'm a bit confused.""
[Teacher]: ""Of course, let's review it together.""
[Student]: ""Thank you.""
[Teacher]: ""Let's start from the beginning.""
[Student]: ""That makes it clearer.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Student]: ""Can we go over the last chapter again? I'm a bit confused.""
[Teacher]: ""Of course, let's review it together.""
[Student]: ""Thank you.""
[Teacher]: ""Let's start from the beginning.""
[Student]: ""That makes it clearer.""
",5,"['[Student]', '[Teacher]', '[Student]', '[Teacher]']","Information seeking
Information giving
Neutral
Information giving
Information giving","['Information seeking', 'Information giving', 'Neutral', 'Information giving', 'Information giving']",5,True
"[Teacher]: ""Let's start the class with a quick recap of yesterday's lesson.""
[Student]: ""Sure.""
[Teacher]: ""We discussed the concept of evolution. Can you tell me what you remember?""
[Student]: ""Evolution is the process by which species of organisms undergo change over time.""
[Teacher]: ""Excellent! Let's move on to today's lesson.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Let's start the class with a quick recap of yesterday's lesson.""
[Student]: ""Sure.""
[Teacher]: ""We discussed the concept of evolution. Can you tell me what you remember?""
[Student]: ""Evolution is the process by which species of organisms undergo change over time.""
[Teacher]: ""Excellent! Let's move on to today's lesson.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Neutral
Information giving
Information seeking
Information giving","['Information giving', 'Neutral', 'Information giving', 'Information seeking', 'Information giving']",5,True
"[Teacher]: ""Today we will be discussing the concept of biodiversity. Are you ready?""
[Student]: ""Yes, I am.""
[Teacher]: ""Great, let's start with the definition.""
[Student]: ""Okay.""
[Teacher]: ""Biodiversity refers to the variety of life on Earth, including the variety within and between species and within and between ecosystems.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Today we will be discussing the concept of biodiversity. Are you ready?""
[Student]: ""Yes, I am.""
[Teacher]: ""Great, let's start with the definition.""
[Student]: ""Okay.""
[Teacher]: ""Biodiversity refers to the variety of life on Earth, including the variety within and between species and within and between ecosystems.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Information seeking
Information giving
Neutral
Information giving","['Information giving', 'Information seeking', 'Information giving', 'Neutral', 'Information giving']",5,True
"[Student]: ""I'm having trouble with this science question.""
[Teacher]: ""Let's break it down together.""
[Student]: ""That would be helpful.""
[Teacher]: ""First, let's look at the context of the question.""
[Student]: ""Oh, I see where I went wrong.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Student]: ""I'm having trouble with this science question.""
[Teacher]: ""Let's break it down together.""
[Student]: ""That would be helpful.""
[Teacher]: ""First, let's look at the context of the question.""
[Student]: ""Oh, I see where I went wrong.""
",5,"['[Student]', '[Teacher]', '[Student]', '[Teacher]']","Information seeking
Information giving
Information seeking
Information giving
Information giving","['Information seeking', 'Information giving', 'Information seeking', 'Information giving', 'Information giving']",5,True
"[Teacher]: ""Today we will be discussing the concept of globalization. Any questions before we start?""
[Student]: ""No, I'm ready.""
[Teacher]: ""Great, let's begin.""
[Student]: ""Okay.""
[Teacher]: ""Globalization is the process by which businesses or other organizations develop international influence or start operating on an international scale.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Today we will be discussing the concept of globalization. Any questions before we start?""
[Student]: ""No, I'm ready.""
[Teacher]: ""Great, let's begin.""
[Student]: ""Okay.""
[Teacher]: ""Globalization is the process by which businesses or other organizations develop international influence or start operating on an international scale.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Neutral
Information giving
Neutral
Information giving","['Information giving', 'Neutral', 'Information giving', 'Neutral', 'Information giving']",5,True
"[Student]: ""Can we go over the last chapter again? I'm a bit confused.""
[Teacher]: ""Of course, let's review it together.""
[Student]: ""Thank you.""
[Teacher]: ""Let's start from the beginning.""
[Student]: ""That makes it clearer.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Student]: ""Can we go over the last chapter again? I'm a bit confused.""
[Teacher]: ""Of course, let's review it together.""
[Student]: ""Thank you.""
[Teacher]: ""Let's start from the beginning.""
[Student]: ""That makes it clearer.""
",5,"['[Student]', '[Teacher]', '[Student]', '[Teacher]']","Information seeking
Information giving
Neutral
Information giving
Information giving","['Information seeking', 'Information giving', 'Neutral', 'Information giving', 'Information giving']",5,True
"[Teacher]: ""Let's start the class with a quick recap of yesterday's lesson.""
[Student]: ""Sure.""
[Teacher]: ""We discussed the concept of human rights. Can you tell me what you remember?""
[Student]: ""Human rights are the basic rights and freedoms to which all individuals are entitled.""
[Teacher]: ""Excellent! Let's move on to today's lesson.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Let's start the class with a quick recap of yesterday's lesson.""
[Student]: ""Sure.""
[Teacher]: ""We discussed the concept of human rights. Can you tell me what you remember?""
[Student]: ""Human rights are the basic rights and freedoms to which all individuals are entitled.""
[Teacher]: ""Excellent! Let's move on to today's lesson.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Neutral
Information giving
Information seeking
Information giving","['Information giving', 'Neutral', 'Information giving', 'Information seeking', 'Information giving']",5,True
"[Teacher]: ""Today we will be discussing the concept of renewable energy. Are you ready?""
[Student]: ""Yes, I am.""
[Teacher]: ""Great, let's start with the definition.""
[Student]: ""Okay.""
[Teacher]: ""Renewable energy is energy that is collected from renewable resources, which are naturally replenished on a human timescale.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Today we will be discussing the concept of renewable energy. Are you ready?""
[Student]: ""Yes, I am.""
[Teacher]: ""Great, let's start with the definition.""
[Student]: ""Okay.""
[Teacher]: ""Renewable energy is energy that is collected from renewable resources, which are naturally replenished on a human timescale.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Information seeking
Information giving
Neutral
Information giving","['Information giving', 'Information seeking', 'Information giving', 'Neutral', 'Information giving']",5,True
"[Student]: ""I'm having trouble with this physics problem.""
[Teacher]: ""Let's break it down together.""
[Student]: ""That would be helpful.""
[Teacher]: ""First, let's look at the formula.""
[Student]: ""Oh, I see where I went wrong.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Student]: ""I'm having trouble with this physics problem.""
[Teacher]: ""Let's break it down together.""
[Student]: ""That would be helpful.""
[Teacher]: ""First, let's look at the formula.""
[Student]: ""Oh, I see where I went wrong.""
",5,"['[Student]', '[Teacher]', '[Student]', '[Teacher]']","Information seeking
Information giving
Information seeking
Information giving
Information giving","['Information seeking', 'Information giving', 'Information seeking', 'Information giving', 'Information giving']",5,True
"[Teacher]: ""Today we will be discussing the concept of sustainability. Any questions before we start?""
[Student]: ""No, I'm ready.""
[Teacher]: ""Great, let's begin.""
[Student]: ""Okay.""
[Teacher]: ""Sustainability is the ability to exist constantly.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Today we will be discussing the concept of sustainability. Any questions before we start?""
[Student]: ""No, I'm ready.""
[Teacher]: ""Great, let's begin.""
[Student]: ""Okay.""
[Teacher]: ""Sustainability is the ability to exist constantly.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Neutral
Information giving
Neutral
Information giving","['Information giving', 'Neutral', 'Information giving', 'Neutral', 'Information giving']",5,True
"[Student]: ""Can we go over the last chapter again? I'm a bit confused.""
[Teacher]: ""Of course, let's review it together.""
[Student]: ""Thank you.""
[Teacher]: ""Let's start from the beginning.""
[Student]: ""That makes it clearer.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Student]: ""Can we go over the last chapter again? I'm a bit confused.""
[Teacher]: ""Of course, let's review it together.""
[Student]: ""Thank you.""
[Teacher]: ""Let's start from the beginning.""
[Student]: ""That makes it clearer.""
",5,"['[Student]', '[Teacher]', '[Student]', '[Teacher]']","Information seeking
Information giving
Neutral
Information giving
Information giving","['Information seeking', 'Information giving', 'Neutral', 'Information giving', 'Information giving']",5,True
