,speaker,elapsed_time,content,video-timestamp-frame number,video-timestamp-elapsed time,video-timestamp-local_time,question
25,parent,0 days 00:04:23.000000000,"Let's play in this now, okay? Little Nutbrown Hare, and Big Nutbrown Hare went out in the winter snow. They played I Spy as they hopped through the snow. Little Nutbrown Hare looked around until he something interesting ""I spy something that belongs to a tree,"" he said. Big NutBrown Hare did some thinking about trees. ""Could it be a leaf?"" Could it be a leaf? That was the right answer.",7890,263.0,2019-03-31 13:09:05,"Let's play in this now, okay:::  Could it be a leaf"
26,parent,0 days 00:05:13.000000000,"Now it was Big Nutbrown Hare turn to look around him. ""I spy something belongs to a spider."" ""A web,"" said Little Nutbrown Hare. [foreign language 00:05:24]",9390,313.0,2019-03-31 13:09:55,
27,parent,0 days 00:05:23.000000000,A web. Look at web. Did you see where? Did you see something? Lots of snow,9690,323.0,2019-03-31 13:10:05, Did you see where::: Did you see something
28,child,0 days 00:05:41.000000000,Rock.,10230,341.0,2019-03-31 13:10:23,
29,parent,0 days 00:05:43.000000000,Rock? Leaf.,10290,343.0,2019-03-31 13:10:25,Rock
30,child,0 days 00:05:45.000000000,Leaf.,10350,345.0,2019-03-31 13:10:27,
31,parent,0 days 00:05:47.000000000,"I saw the feather, too. Where is that?",10410,347.0,2019-03-31 13:10:29, Where is that
32,child,0 days 00:05:50.000000000,Feather.,10500,350.0,2019-03-31 13:10:32,
33,parent,0 days 00:05:50.000000000,"Feather, feather.",10500,350.0,2019-03-31 13:10:32,
34,child,0 days 00:05:50.000000000,And trees.,10500,350.0,2019-03-31 13:10:32,
35,parent,0 days 00:05:53.000000000,Feather. Where is feather?,10590,353.0,2019-03-31 13:10:35, Where is feather
36,child,0 days 00:05:54.000000000,Trees.,10620,354.0,2019-03-31 13:10:36,
37,parent,0 days 00:05:57.000000000,Two feather.,10710,357.0,2019-03-31 13:10:39,
38,child,0 days 00:05:58.000000000,And trees.,10740,358.0,2019-03-31 13:10:40,
39,parent,0 days 00:05:58.000000000,"Yes, trees. Forest. Feather. He is hiding feather. Look.",10740,358.0,2019-03-31 13:10:40,
40,parent,0 days 00:06:07.000000000,"Yes, a web was the answer. ""I spy something that belongs to a bird,"" said Little Nutbrown Hair. Big Nutbrown Hair thought about bird for a while. Then he said ""Could it be a feather?"" Could it be a feather? [inaudible 00:06:30] Yes, it was a feather.",11010,367.0,2019-03-31 13:10:49, Then he said  Could it be a feather
41,parent,0 days 00:06:33.000000000,"""This time,"" said Big Nutbrown Hair ""I spy something that belongs to the river and it wet, wet, wet."" ""Water"" try. Carried Little Nutbrown Hare. Harry.",11790,393.0,2019-03-31 13:11:15,
42,child,0 days 00:06:54.000000000,Harry. [foreign language 00:06:54],12420,414.0,2019-03-31 13:11:36,
43,parent,0 days 00:06:56.000000000,"Mm-hmm (affirmative). Water was the answer. Little Nutbrown Hare began to laugh. I have got a good one, he thought. ""I spy something that belongs to me."" He also spy something big. Nutbrown Hare was puzzled. ""Can I have a clue?"" he said. ""It's only there when the sun comes out."" ""Your shadow,"" said Big Nutbrown Hare. Harry.",12480,416.0,2019-03-31 13:11:38,
44,parent,0 days 00:07:35.000000000,"Then Big Nutbrown Hare said ""I spy something that belongs to me, and it's not my shadow."" What's that? Can you guess? Can you guess? It only comes after the sun.",13650,455.0,2019-03-31 13:12:17,Then Big Nutbrown Hare said  What's that::: Can you guess::: Can you guess
45,parent,0 days 00:07:56.000000000,"That really was a tricky one. Little Nutbrown Hare did some thinking and then he said ""Can I have a clue?"" ""It's little, it's nutbrown, it's my most favorite thing, and it can hop.""",14280,476.0,2019-03-31 13:12:38,
46,parent,0 days 00:08:14.000000000,"""It's me!""",14820,494.0,2019-03-31 13:12:56,
47,parent,0 days 00:08:20.000000000,It's finished.,15000,500.0,2019-03-31 13:13:02,
48,parent,0 days 00:08:21.000000000,"[inaudble 00:08:21] On that place you go. This one. Oh, the places you'll go.",15030,501.0,2019-03-31 13:13:03,
49,parent,0 days 00:08:45.000000000,"Congratulations. Today is your day. You are off to a great place. You are off and away. Oh, I like this way. You have brains in your head. You have feet in your shoes. You can steer to yourself. Any direction you choose. You are on your own and you know what you know, and you are the guy who will decide where to go.",15750,525.0,2019-03-31 13:13:27,
50,parent,0 days 00:09:16.000000000,"You will look up and down street looking over with care, about some you will say I don't choose to go there. With your head full of brain and your shoes full of feet, you are too smart to go down any not so good street.",16680,556.0,2019-03-31 13:13:58,
51,parent,0 days 00:09:44.000000000,"And you may not find any you will want to go down. In what case of course, you will head straight out of town. It's openener there in the wide open air.",17520,584.0,2019-03-31 13:14:26,
52,parent,0 days 00:10:02.000000000,"Out there things can happen and frequently do, to people as brainy and footsy as you. And when things starts to happen, don't worry, don't stew. Just grow along, you will start happening too.",18060,602.0,2019-03-31 13:14:44,
53,parent,0 days 00:10:28.000000000,"Oh, the place you will go. You will be on your own way up. You will be seeing great sights, you will join the high fliers who soar to high heights.",18840,628.0,2019-03-31 13:15:10,
54,parent,0 days 00:10:44.000000000,"You won't lag behind because you'll have the speed. You will pass the whole gang, and you will soon take the lead. Wherever you fly, you will be best of the best. Wherever you go, you will top all the rest.",19320,644.0,2019-03-31 13:15:26,
55,parent,0 days 00:11:01.000000000,"Look at him. He is flown to there top of the branch, and then he is swinging here.",19830,661.0,2019-03-31 13:15:43,
56,parent,0 days 00:11:13.000000000,"Except when you don't, because sometimes you won't. I'm sorry to say so, but sadly it's true. The bang and hang ups can happen to you. You can get all hung up in a prickly prickly perch, and your gang will fly on and you'll be left in a lurch.",20190,673.0,2019-03-31 13:15:55,
57,parent,0 days 00:11:35.000000000,"Go ahead. You will come down from the lurch with an unpleasant bump, and the chances are that then you'll be in a slump.",20850,695.0,2019-03-31 13:16:17,
58,parent,0 days 00:11:52.000000000,"And, can you write it for me?",21360,712.0,2019-03-31 13:16:34,"And, can you write it for me"
59,child,0 days 00:11:54.000000000,Lump.,21420,714.0,2019-03-31 13:16:36,
60,parent,0 days 00:11:54.000000000,Read it for me?,21420,714.0,2019-03-31 13:16:36,Read it for me
61,child,0 days 00:11:58.000000000,And when you. When you'll,21540,718.0,2019-03-31 13:16:40,
62,parent,0 days 00:12:00.000000000,You are,21600,720.0,2019-03-31 13:16:42,
63,child,0 days 00:12:02.000000000,You are,21660,722.0,2019-03-31 13:16:44,
64,parent,0 days 00:12:04.000000000,Not in,21720,724.0,2019-03-31 13:16:46,
65,child,0 days 00:12:05.000000000,Not in a slump,21750,725.0,2019-03-31 13:16:47,
66,parent,0 days 00:12:08.000000000,"For much fun. [crosstalk 00:12:10] Un-slumping yourself is not easily done. You will come to a place where the streets are not marked. Some windows are lighted but mostly they are dark. Oh. Mostly they are dark, look.",21840,728.0,2019-03-31 13:16:50,
67,parent,0 days 00:12:31.000000000,A place you could sprain both your elbow and chin. Do you dare to stay out? Do you dare to go in? How much can you lose? How much can you win?,22530,751.0,2019-03-31 13:17:13, Do you dare to stay out::: Do you dare to go in::: How much can you lose::: How much can you win
68,child,0 days 00:12:48.000000000,Yeah.,23040,768.0,2019-03-31 13:17:30,
69,parent,0 days 00:12:49.000000000,"Yeah? And if you go in. You go in, should you turn left or right? Or right and three quarters? Or maybe not quite. Or go to the. Go around back and sneak in from behind. Simple it's not, I'm afraid you will find for a mind maker upper to make up his mind.",23070,769.0,2019-03-31 13:17:31,"Yeah::: You go in, should you turn left or right::: Or right and three quarters"
70,parent,0 days 00:13:26.000000000,"Oh, look, this one. This look like J, right?",24180,806.0,2019-03-31 13:18:08," This look like J, right"
71,child,0 days 00:13:31.000000000,"Yeah. J, but it's not. Backward J, but it's not.",24330,811.0,2019-03-31 13:18:13,
72,parent,0 days 00:13:36.000000000,What do you think this one? What is that?,24480,816.0,2019-03-31 13:18:18,What do you think this one::: What is that
73,child,0 days 00:13:40.000000000,A house.,24600,820.0,2019-03-31 13:18:22,
74,parent,0 days 00:13:41.000000000,A house? A castle?,24630,821.0,2019-03-31 13:18:23,A house::: A castle
75,child,0 days 00:13:47.000000000,A witch house?,24810,827.0,2019-03-31 13:18:29,A witch house
76,parent,0 days 00:13:48.000000000,Maybe. You want to go there?,24840,828.0,2019-03-31 13:18:30, You want to go there
77,child,0 days 00:13:49.000000000,"No, no, no.",24870,829.0,2019-03-31 13:18:31,
78,parent,0 days 00:13:55.000000000,"You can get so confused that you will start to race down long wiggled roads at the break-necking pace. And grind on your miles, across weirdest wildest space headed, I fear, toward a most useless space.",25050,835.0,2019-03-31 13:18:37,
79,parent,0 days 00:14:19.000000000,"The waiting place for people just waiting, waiting for a train to go. [inaudible 00:14:29] so many people they are waiting for go.",25770,859.0,2019-03-31 13:19:01,
80,parent,0 days 00:14:34.000000000,"Or bus to come, or plane to go, or the mail to come, or the train to go. Or the phone to ring, or the snow to snow, or waiting around for a yes or a no. Or waiting for their hair to grow. Everyone is just waiting. Next page.",26220,874.0,2019-03-31 13:19:16,
81,parent,0 days 00:15:01.000000000,"Waiting for the fish to bite, or waiting for a wind to fly a kite. Or waiting around for Friday night. Or waiting perhaps, for their Uncle Jake. Or a pot to boil, or better break. Or a string of pearls, or a pair of pants, or a wig with curls, or another chance. Everyone is just waiting.",27030,901.0,2019-03-31 13:19:43,
82,parent,0 days 00:15:30.000000000,"Look. Everyone is a big, big line. Now what is this [inaudible 00:15:36]?",27900,930.0,2019-03-31 13:20:12, Now what is this [inaudible 00:15:36]
83,child,0 days 00:15:36.000000000,I don't know.,28080,936.0,2019-03-31 13:20:18,
84,parent,0 days 00:15:43.000000000,You don't know? This look like big bad [inaudible 00:15:47]. This look like guitar.,28290,943.0,2019-03-31 13:20:25,You don't know
85,parent,0 days 00:15:52.000000000,"That's not for you. Somehow you will escape, all that waiting and staying. You will find a bright place where boom band are playing. Music instrument, all of those.",28560,952.0,2019-03-31 13:20:34,
86,parent,0 days 00:16:19.000000000,With banner flip-flapping once more you will ride high. Ready for anything under the sky. Ready because you are that kind of guy.,29370,979.0,2019-03-31 13:21:01,
87,parent,0 days 00:16:36.000000000,What's that? That's the flag. Purple flag. They are taking flag.,29880,996.0,2019-03-31 13:21:18,What's that
88,parent,0 days 00:16:43.000000000,"Oh, the places you'll go. There is fun to be done. There are points to be scored. Oh my god. There. Look, elephant has a ... what's that?",30090,1003.0,2019-03-31 13:21:25, what's that
89,parent,0 days 00:17:05.000000000,"There are points to be scored, there are games to be owned. And the magical things you can do with that wall, will make you the winning-est winner of all. You will be famous as famous can be with the whole wide world watching you win on TV.",30750,1025.0,2019-03-31 13:21:47,
90,parent,0 days 00:17:27.000000000,"Except when they don't because sometimes they won't. I'm afraid that sometimes you will play lonely games, too. Game you cannot win, because you will play against you. All alone whether you like it or not. Alone will be something you will be quite a lot.",31410,1047.0,2019-03-31 13:22:09,
91,parent,0 days 00:17:53.000000000,Look. You will be quite a lot. [foreign language 00:17:56]. What's that?,32190,1073.0,2019-03-31 13:22:35, What's that
92,child,0 days 00:17:59.000000000,I don't know.,32370,1079.0,2019-03-31 13:22:41,
93,parent,0 days 00:18:06.000000000,"Is it scary, or not? I don't think so. Maybe they are friends.",32580,1086.0,2019-03-31 13:22:48,"Is it scary, or not"
94,parent,0 days 00:18:10.000000000,"And when you are alone there is a very good chance you will make things that scare you right out of your pants. There are some down the road between hither and yon, that can scare you so much you won't want to go on.",32700,1090.0,2019-03-31 13:22:52,
95,parent,0 days 00:18:28.000000000,"Though the weather be poor, on you will go though your enemies brawl, on you will go. Through the [inaudible 00:18:45] Howl, onward many a frightened creak. Though your arms may get sore, and your sneakers may leak.",33240,1108.0,2019-03-31 13:23:10,
96,parent,0 days 00:18:57.000000000,"Oh. Your sneakers also may leak. Look, where he went in the water. In front of the water. Oh, what's that? He made a lot of things.",34110,1137.0,2019-03-31 13:23:39," Oh, what's that"
97,parent,0 days 00:19:12.000000000,"On and on you will hike, and I know you will hike far. And face up to your problems, whatever they are. You will get mixed up, of course, as you already know. You will get mixed up with many strange birds as you go. So, be sure when you step, step with care and great tact. And remember that's life, a great balancing act.",34560,1152.0,2019-03-31 13:23:54,
98,parent,0 days 00:19:48.000000000,"Just never forget to be dexterous and never mix up your right foot with your left. Your right foot with your left. And will you succeed? Yes, you will indeed. 98 3/4% guaranteed. Kid, you will move mountains.",35640,1188.0,2019-03-31 13:24:30, And will you succeed
99,parent,0 days 00:20:16.000000000,"So be your name Buxbaum or Buxby, or Bray. Or Mordecai, Alivan, Elaine, O'Shea, You are off to great places, today is your [crosstalk 00:20:29]. Yes. Same [foreign language 00:20:33]. You chose those color. Thank you for choosing m. The good color. Isn't that good color?",36480,1216.0,2019-03-31 13:24:58, Isn't that good color
100,parent,0 days 00:20:45.000000000,Your mountain is waiting so get on your way. It's finished. Ta-da.,37350,1245.0,2019-03-31 13:25:27,
101,parent,0 days 00:20:53.000000000,"Oh. So many. Oh, oh oh. It's already done. [inaudible 00:21:03] Do you know the spoon story?",37590,1253.0,2019-03-31 13:25:35, [inaudible 00:21:03] Do you know the spoon story
102,child,0 days 00:21:02.000000000,Huh? What is spoon?,37860,1262.0,2019-03-31 13:25:44,Huh::: What is spoon
103,parent,0 days 00:21:02.000000000,That is spoon.,37860,1262.0,2019-03-31 13:25:44,
104,child,0 days 00:21:04.000000000,What. This?,37920,1264.0,2019-03-31 13:25:46, This
105,parent,0 days 00:21:22.000000000,"Once, there was a boy name Nicki who wanted his new mitten made from wool and white as snow. What he want?",38460,1282.0,2019-03-31 13:26:04, What he want
106,child,0 days 00:21:35.000000000,New,38850,1295.0,2019-03-31 13:26:17,
107,parent,0 days 00:21:36.000000000,"New mittens made from wool and white as a snow. At first his grandmother, Baba,",38880,1296.0,2019-03-31 13:26:18,
108,parent,0 days 00:21:43.000000000,"Baba did not want to knit white mitten. Oh. His Baba. Grandmother [foreign language 00:22:01]. ""If you drop one in the snow,"" she warned, ""you will never find it."" [foreign language 00:22:11]",39090,1303.0,2019-03-31 13:26:25,
109,parent,0 days 00:22:24.000000000,"But Nicki wanted his snow white mitten, and finally Baba made them. Ah. [foreign language 00:22:30]. After [inaudible 00:22:31] she said, ""When you come home first, I will look first to see if you are safe and sound, but then I will look to see if you still have your snow-white mittens.""",40320,1344.0,2019-03-31 13:27:06,
110,parent,0 days 00:22:52.000000000,So off Nicki went and it wasn't long until one of his new mittens dropped in the snow and was left behind.,41160,1372.0,2019-03-31 13:27:34,
111,parent,0 days 00:23:03.000000000,So Nicki went and then it wasn't long until one of his new mitten dropped. His new mitten dropped [foreign language 00:23:11] how he find out.,41490,1383.0,2019-03-31 13:27:45,
112,parent,0 days 00:23:15.000000000,"A mole tried from the tunneling along discovered the mitten and burrowed inside. It was cozy and warm and just the right size. So, he decided to stay. [foreign language 00:23:30] A snowshoes rabbit came hopping by stopped for a moment to admire his winter coat. It was then that he saw the mitten and he wiggled in feet first. The mole did not think there was room for both of them, but when he saw the rabbit big kickers, he moved over.",41850,1395.0,2019-03-31 13:27:57,
113,parent,0 days 00:24:20.000000000,"Next, a hedgehog came snuffling along having spent the day looking under white leaves for things to eat. He decided to move into the",43800,1460.0,2019-03-31 13:29:02,
114,parent,0 days 00:24:32.000000000,"Let me see. Okay. [foreign language 00:24:41] Done that one. Go ahead. Mm-hmm (affirmative). This side. This one. A snowshoes rabbit came hopping ... we are done this one, too. Look at there is owl. What is that? What is this? Here is something. He is hiding and then he is watching from there.",44160,1472.0,2019-03-31 13:29:14, What is that::: What is this
115,child,0 days 00:25:19.000000000,Tree.,45570,1519.0,2019-03-31 13:30:01,
116,parent,0 days 00:25:19.000000000,"Oh, yeah. Tree. There is maybe big hole and then he can watch everything. I saw something over there, look. What is this? Cave. The snow cave. Look. You can go from inside the cave. You want to make a cave? No more snow. That's the sad thing. No worries, next year it will come.",45570,1519.0,2019-03-31 13:30:01, What is this::: You want to make a cave
117,parent,0 days 00:25:51.000000000,"He decided to move into the mitten and warm himself. The mole and the rabbit were jumped and jostled, but not being one to argue with someone covered with the prickles, they made room. [foreign language 00:26:08]. As soon as the hedgehog disappeared into the mitten, a big owl attracted by the commotion wooped down. When he decided to move in also, the mole, the rabbit, and the hedgehog grumble, but when they saw the owl glinty talons, they quickly let them in.",46530,1551.0,2019-03-31 13:30:33,
118,parent,0 days 00:26:45.000000000,"[foreign language 00:26:45] Up through the snow appeared a badger. He eyed the mitten and began [foreign language 00:26:58] began to climb in. The mole, the rabbit, the hedgehog, and the owl were not pleased. There was no room left, but when they saw his diggers they gave him the thumb. [foreign language 00:27:21] but there is no room.",48150,1605.0,2019-03-31 13:31:27,
119,parent,0 days 00:27:40.000000000,"It started to snowing, but the animals were snug in the mitten. A waft of warm steam rose in the air and a fox trotting by stopped to investigate. Just the sight of the cozy mitten made him feel drowsy. The fox poked his muzzle in. When the mole, the rabbit, the hedgehog, the owl, and the badger saw his shiny teeth, they gave the fox lots of room. [foreign language 00:28:27]",49800,1660.0,2019-03-31 13:32:22,
120,parent,0 days 00:28:29.000000000,"A greater bear lumbered by. He [inaudible 00:28:33] the mitten all plumped up. Not being one to be left out in the cold, he began to nose his way in. The animal were packed in as tightly as could be, but what animal would argue with a bear? [foreign language 00:28:58] The mitten swelled and stretched it was pulled and warped too many times its size, but Baba good knitting held fast. [foreign language 00:29:12]",51270,1709.0,2019-03-31 13:33:11," The animal were packed in as tightly as could be, but what animal would argue with a bear"
121,parent,0 days 00:29:14.000000000,"Along came a meadow mouse, no bigger than an acorn. She wriggled into the one space left and made herself comfortable on top of the great bear's nose. [foreign language 00:29:30]",52620,1754.0,2019-03-31 13:33:56,
122,parent,0 days 00:29:29.000000000,"The bear, tickled by the mouse, [foreign language 00:29:45] gave an enormous sneeze. [foreign language 00:29:54] [crosstalk 00:29:54]",53070,1769.0,2019-03-31 13:34:11,
123,parent,0 days 00:29:54.000000000,The force of the sneeze shot the mitten up into the sky and scared the animal in all direction. [foreign language 00:30:37] On his way home [foreign language 00:30:50],53820,1794.0,2019-03-31 13:34:36,
124,parent,0 days 00:30:50.000000000,"Nicki saw white shape in the distance. It was the lost mitten silhouetted against the blue sky. [foreign language 00:31:11] As he ran to catch his snow white mitten, he saw Baba's face in the window. First, she looked to see if he was safe and sound, and then she saw that he still had his new mitten.",55500,1850.0,2019-03-31 13:35:32,
125,parent,0 days 00:31:31.000000000,Still has a new mitten! [foreign language 00:31:38],56730,1891.0,2019-03-31 13:36:13,
126,Speaker 3,0 days 00:31:38.000000000,[inaudible 00:31:38] time. Thank you.,56940,1898.0,2019-03-31 13:36:20,
127,child,0 days 00:31:47.000000000,Look this.,57210,1907.0,2019-03-31 13:36:29,
128,parent,0 days 00:31:49.000000000,[foreign language 00:31:49] can I open it?,57270,1909.0,2019-03-31 13:36:31,[foreign language 00:31:49] can I open it
129,Speaker 3,0 days 00:31:50.000000000,Oh. Sorry?,57300,1910.0,2019-03-31 13:36:32, Sorry
130,parent,0 days 00:31:52.000000000,Can I open it?,57360,1912.0,2019-03-31 13:36:34,Can I open it
131,Speaker 3,0 days 00:31:54.000000000,"Oh, no. Just leave it there for now",57420,1914.0,2019-03-31 13:36:36,
132,parent,0 days 00:31:55.000000000,"Oh, okay, okay.",57450,1915.0,2019-03-31 13:36:37,
133,Speaker 4,0 days 00:31:56.000000000,Could you come to the sofa?,57480,1916.0,2019-03-31 13:36:38,Could you come to the sofa
134,parent,0 days 00:31:56.000000000,Okay. Let's go.,57480,1916.0,2019-03-31 13:36:38,
135,Speaker 4,0 days 00:31:56.000000000,How was the story?,57480,1916.0,2019-03-31 13:36:38,How was the story
136,parent,0 days 00:31:56.000000000,It was nice.,57480,1916.0,2019-03-31 13:36:38,
